Date,Close,High,Low,Open,Volume
2026-01-28,5722.5,5789.5,5650.5,5748.5,168889
2026-01-29,5713.0,5750.0,5613.5,5750.0,64418
2026-01-30,5677.5,5750.0,5640.0,5690.0,160841
2026-02-02,5521.5,5616.0,5406.0,5616.0,129255
2026-02-03,5702.5,5747.0,5628.0,5714.0,175751
2026-02-04,5653.5,5728.0,5635.0,5678.0,78850
2026-02-05,5662.5,5699.0,5584.5,5650.5,108123
2026-02-06,5684.0,5706.0,5569.0,5683.0,52719
2026-02-09,5750.5,5800.0,5670.0,5699.5,227955
2026-02-10,5811.5,5833.0,5733.0,5750.0,84505
2026-02-11,5890.0,5915.0,5745.0,5840.0,78718
2026-02-12,5870.5,5906.0,5810.0,5894.0,70024
2026-02-13,5402.5,5850.0,5331.5,5850.0,605115
2026-02-16,5480.5,5537.0,5364.0,5431.0,132794
2026-02-17,5456.5,5510.0,5415.5,5500.0,74670
2026-02-18,5464.0,5483.5,5401.5,5460.0,83592
2026-02-19,5377.0,5517.0,5350.5,5517.0,190955
2026-02-20,5392.0,5401.5,5328.5,5330.0,66662
2026-02-23,5490.5,5504.0,5395.5,5415.0,139365
2026-02-24,5495.5,5508.5,5448.0,5500.0,119453
2026-02-25,5625.0,5655.0,5468.0,5508.5,231439
2026-02-26,5752.0,5764.5,5622.5,5635.0,84228
2026-02-27,5639.5,5781.5,5614.0,5752.0,131566
2026-03-02,5566.0,5619.5,5415.0,5415.0,54260
2026-03-04,5466.5,5536.0,5432.0,5489.5,87647
2026-03-05,5550.0,5573.5,5454.0,5476.5,96348
2026-03-06,5530.0,5583.0,5497.0,5580.0,41269
2026-03-09,5460.0,5518.5,5421.0,5500.0,41694
2026-03-10,5616.5,5664.5,5500.0,5509.5,127594
2026-03-11,5544.5,5665.0,5514.5,5662.0,147779
2026-03-12,5444.0,5528.0,5400.0,5515.5,121868
2026-03-13,5355.5,5471.5,5335.5,5422.0,103318
2026-03-16,5323.0,5407.0,5233.0,5393.0,204293
2026-03-17,5333.5,5350.0,5285.0,5317.0,127237
2026-03-18,5351.5,5423.0,5315.0,5335.0,65448
2026-03-19,5240.0,5336.0,5222.5,5309.0,60008
2026-03-20,5257.5,5298.5,5211.0,5245.0,325586
2026-03-23,5144.5,5272.5,5111.5,5260.0,110544
2026-03-24,5297.0,5304.5,5160.5,5200.0,79204
2026-03-25,5435.5,5464.0,5311.5,5355.0,61346
2026-03-27,5344.5,5419.5,5259.0,5401.0,145051
2026-03-30,5299.0,5345.5,5252.0,5291.0,182729
2026-04-01,5244.5,5454.0,5210.0,5320.5,119101
2026-04-02,5258.0,5276.5,5075.0,5210.5,70183
2026-04-06,5236.5,5305.5,5155.0,5273.5,81489
2026-04-07,5172.5,5246.5,5142.0,5236.5,136756
2026-04-08,5246.0,5295.5,5214.5,5278.0,145626
2026-04-09,5370.5,5386.5,5181.5,5269.0,128017
2026-04-10,5440.0,5451.5,5353.5,5390.0,80490
2026-04-13,5364.5,5432.0,5308.5,5380.0,165527
2026-04-15,5575.5,5599.0,5350.0,5440.0,191897
2026-04-16,5570.0,5688.0,5528.5,5639.0,115380
2026-04-17,5582.0,5614.5,5501.5,5570.0,126039
2026-04-20,5642.0,5676.5,5534.0,5582.0,64218
2026-04-21,5696.5,5718.5,5627.0,5664.0,127553
2026-04-22,5627.0,5735.0,5539.0,5685.0,199874
2026-04-23,5520.5,5579.5,5432.5,5545.5,161346
2026-04-24,5235.0,5578.5,5193.5,5572.5,170430
2026-04-27,5344.0,5486.0,5248.0,5280.0,212162
2026-04-28,5400.5,5410.0,5315.0,5344.0,41858
